"Durchschnitt von RRT fuer 100 Pakete"
"7160.0","Nano_seconden"
"recive_Zeit","send_Zeit,different"
"2022-07-16T19:20:46.957443","2022-07-16T19:20:46.931929","25329000"
"2022-07-16T19:20:47.040932","2022-07-16T19:20:47.018682","22211000"
"2022-07-16T19:20:47.044665","2022-07-16T19:20:47.043832","805000"
"2022-07-16T19:20:47.047574","2022-07-16T19:20:47.046838","715000"
"2022-07-16T19:20:47.049627","2022-07-16T19:20:47.048911","695000"
"2022-07-16T19:20:47.052525","2022-07-16T19:20:47.051741","744000"
"2022-07-16T19:20:49.838149","2022-07-16T19:20:49.836998","1118000"
"2022-07-16T19:20:49.841771","2022-07-16T19:20:49.840912","833000"
"2022-07-16T19:20:49.844817","2022-07-16T19:20:49.844006","787000"
"2022-07-16T19:20:49.847532","2022-07-16T19:20:49.846798","713000"
"2022-07-16T19:20:49.849587","2022-07-16T19:20:49.848868","700000"
"2022-07-16T19:20:49.851870","2022-07-16T19:20:49.850971","876000"
"2022-07-16T19:20:49.945030","2022-07-16T19:20:49.944046","954000"
"2022-07-16T19:20:49.947602","2022-07-16T19:20:49.946859","722000"
"2022-07-16T19:20:49.949594","2022-07-16T19:20:49.948960","616000"
"2022-07-16T19:20:49.952101","2022-07-16T19:20:49.951179","900000"
"2022-07-16T19:20:52.839940","2022-07-16T19:20:52.838882","1023000"
"2022-07-16T19:20:52.842711","2022-07-16T19:20:52.841806","877000"
"2022-07-16T19:20:52.844956","2022-07-16T19:20:52.844154","782000"
"2022-07-16T19:20:52.847298","2022-07-16T19:20:52.846559","721000"
"2022-07-16T19:20:52.849250","2022-07-16T19:20:52.848532","699000"
"2022-07-16T19:20:52.851743","2022-07-16T19:20:52.850874","846000"
"2022-07-16T19:20:52.948488","2022-07-16T19:20:52.947366","1090000"
"2022-07-16T19:20:52.951176","2022-07-16T19:20:52.950291","862000"
"2022-07-16T19:20:52.953321","2022-07-16T19:20:52.952577","704000"
"2022-07-16T19:20:52.955462","2022-07-16T19:20:52.954694","750000"
"2022-07-16T19:20:55.845448","2022-07-16T19:20:55.844424","990000"
"2022-07-16T19:20:55.847886","2022-07-16T19:20:55.847119","717000"
"2022-07-16T19:20:55.849959","2022-07-16T19:20:55.849165","768000"
"2022-07-16T19:20:55.852127","2022-07-16T19:20:55.851291","816000"
"2022-07-16T19:20:55.854035","2022-07-16T19:20:55.853376","640000"
"2022-07-16T19:20:55.856065","2022-07-16T19:20:55.855282","762000"
"2022-07-16T19:20:55.955486","2022-07-16T19:20:55.954581","881000"
"2022-07-16T19:20:55.957786","2022-07-16T19:20:55.956975","788000"
"2022-07-16T19:20:55.959663","2022-07-16T19:20:55.958996","645000"
"2022-07-16T19:20:55.962006","2022-07-16T19:20:55.961280","706000"
"2022-07-16T19:20:58.846517","2022-07-16T19:20:58.845032","1448000"
"2022-07-16T19:20:58.849415","2022-07-16T19:20:58.848421","968000"
"2022-07-16T19:20:58.851453","2022-07-16T19:20:58.850698","732000"
"2022-07-16T19:20:58.853783","2022-07-16T19:20:58.853089","674000"
"2022-07-16T19:20:58.855807","2022-07-16T19:20:58.855062","724000"
"2022-07-16T19:20:58.858334","2022-07-16T19:20:58.857082","1230000"
"2022-07-16T19:20:58.967523","2022-07-16T19:20:58.966329","1148000"
"2022-07-16T19:20:58.969802","2022-07-16T19:20:58.968915","863000"
"2022-07-16T19:20:58.971965","2022-07-16T19:20:58.971085","858000"
"2022-07-16T19:20:58.974298","2022-07-16T19:20:58.973588","689000"
"2022-07-16T19:21:01.848417","2022-07-16T19:21:01.847286","1094000"
"2022-07-16T19:21:01.851413","2022-07-16T19:21:01.850115","1269000"
"2022-07-16T19:21:01.853482","2022-07-16T19:21:01.852776","678000"
"2022-07-16T19:21:01.855422","2022-07-16T19:21:01.854732","672000"
"2022-07-16T19:21:01.857288","2022-07-16T19:21:01.856536","733000"
"2022-07-16T19:21:01.859453","2022-07-16T19:21:01.858617","812000"
"2022-07-16T19:21:01.980771","2022-07-16T19:21:01.979585","1150000"
"2022-07-16T19:21:01.983031","2022-07-16T19:21:01.982268","738000"
"2022-07-16T19:21:01.985187","2022-07-16T19:21:01.984444","712000"
"2022-07-16T19:21:01.987249","2022-07-16T19:21:01.986522","707000"
"2022-07-16T19:21:04.850499","2022-07-16T19:21:04.849704","771000"
"2022-07-16T19:21:04.853183","2022-07-16T19:21:04.852405","747000"
"2022-07-16T19:21:04.855231","2022-07-16T19:21:04.854561","648000"
"2022-07-16T19:21:04.857150","2022-07-16T19:21:04.856487","643000"
"2022-07-16T19:21:04.858940","2022-07-16T19:21:04.858260","661000"
"2022-07-16T19:21:04.860648","2022-07-16T19:21:04.860048","577000"
"2022-07-16T19:21:04.987979","2022-07-16T19:21:04.986798","1150000"
"2022-07-16T19:21:04.990541","2022-07-16T19:21:04.989486","1030000"
"2022-07-16T19:21:04.992813","2022-07-16T19:21:04.992065","725000"
"2022-07-16T19:21:04.995276","2022-07-16T19:21:04.994522","731000"
"2022-07-16T19:21:07.853016","2022-07-16T19:21:07.851751","1227000"
"2022-07-16T19:21:07.855701","2022-07-16T19:21:07.854804","868000"
"2022-07-16T19:21:07.858242","2022-07-16T19:21:07.857115","1101000"
"2022-07-16T19:21:07.860518","2022-07-16T19:21:07.859655","840000"
"2022-07-16T19:21:07.862433","2022-07-16T19:21:07.861737","665000"
"2022-07-16T19:21:07.864195","2022-07-16T19:21:07.863473","701000"
